reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
0a4e7935-9203-444e-9685-1598b46de9b5,irda suryani,https://play-lh.googleusercontent.com/a-/ALV-UjVPEIooJMHgPFkuhOTo4Xbmvq3nWSJxCpdS1BuZvuK5pUmeny7c,bagus krn ada doa setelah azan,5,0,6.0.3,2025-05-26 22:08:35,,,6.0.3
93d5a13b-d8c4-4364-9fb8-d2321e1348a0,Iis Nur Aisyah Aisyah,https://play-lh.googleusercontent.com/a/ACg8ocKnVfHoOwXcBWwiWhKZG3skpM96d7flnRG7EWxP6sLxAL4Plw=mo,"bagus,hanya kurang pengingat berapa menit lagi dan sudah jalan berapa menit adzan nya,",5,0,6.0.3,2025-05-26 21:01:58,,,6.0.3
229b7142-26c9-495c-bfed-38b4d88b349b,Diah Johan Daulay,https://play-lh.googleusercontent.com/a-/ALV-UjXKhR6qVe7qA1EzUFbHcrrOPmHfdp3Ip_Xd86W03g4Qw9iXkGHj,keren,5,0,6.0.3,2025-05-26 14:39:41,,,6.0.3
8fe9e813-b7c1-47fd-9d62-a4e570b93be2,AR SPRIT,https://play-lh.googleusercontent.com/a-/ALV-UjXRWLOtkbCq_UqLKhPOFordTAQIiuWsO6-pN-fzLl2CemhqyHM,"Alhamdulillah aplikasi ini membantuku sekali , trimakasih",5,0,6.0.3,2025-05-26 12:06:24,,,6.0.3
72defdee-b576-4add-82d9-cdac5d274023,Rizal 79,https://play-lh.googleusercontent.com/a/ACg8ocImKHBlVkfxBdCsrd6ovuK3_20nU_nDFvmLm162Mr8YIoGljA=mo,simple dan bermanfaat insyaallah,5,0,6.0.3,2025-05-26 11:29:30,,,6.0.3
f15c82ca-810d-493f-aac6-93c2027501d0,Priyonation,https://play-lh.googleusercontent.com/a-/ALV-UjWDFKOkbUJzdha0Bu9A7eJnyjiepbmoPSMX6ZDbwOyOzEF3458e,"Aplikasi ini bagus namun sayangnya untuk lokasi masih belum otomatis, jadi harus manual pindah lokasinya",4,0,6.0.3,2025-05-26 10:16:10,Anda perlu memberikan izin lokasi di pengaturan ponsel Anda,2025-05-26 11:14:36,6.0.3
08f92f1f-b03a-40a2-bddb-a4f3a26b04c9,muhammad Ilham,https://play-lh.googleusercontent.com/a-/ALV-UjV-h9peY7pZuKW86XLiKad23cJmtV0Df4vfYju9MRrayDjd3Tw,ok..,5,0,,2025-05-26 09:28:38,,,
3581f8fc-7140-422c-a5a0-12754eab7879,Kurnia widhi Widayat,https://play-lh.googleusercontent.com/a/ACg8ocKIBZ7loSHigdrB4LCiu_oidFXYo7P8qiRWPQM4fsUlEbNoKQ=mo,mantap,5,0,6.0.3,2025-05-26 02:27:33,,,6.0.3
13a84a4e-9dc8-451e-8bed-b7eee3df9b1e,Nurul Salsabila,https://play-lh.googleusercontent.com/a-/ALV-UjV-En9YToH7igc0RoOhZqxL6lHHtWC6mL_2O_e_rJJQtMsd9EiY,"apk nya sangat bagus, apalagi setepah di upgrade ke yang baru",5,0,6.0.3,2025-05-25 22:37:18,,,6.0.3
56b1ded5-8067-43d8-bca1-df1a7518be47,Misradi Amri,https://play-lh.googleusercontent.com/a/ACg8ocIE-nqUkLQJE1AKhX_FpjW5Xe9Z7tfwt4AiGo_OKmsqN5vG-A=mo,bagus,5,0,6.0.3,2025-05-25 20:46:05,,,6.0.3
75cbd413-69c8-4202-b28b-b8c5106d5e00,Fahry Al Ghiffary,https://play-lh.googleusercontent.com/a-/ALV-UjVwrRUSugT7Zqks82Jsr3LhwOcUiXsqqR3czUW_KhZgI0zpwkBo,jazakumullaah khairan barakallaah fiikum,5,0,6.0.3,2025-05-25 12:06:24,,,6.0.3
260f58f6-046f-4c59-a421-8e26558768cb,Siti Ana,https://play-lh.googleusercontent.com/a-/ALV-UjVIpwAKWju-buHAnb1qWyZLVr4HNbDpebR6pRTZFYMZnR5jnHZH,aplikasi ini sangat membantu khususnya bagi yg punya banyak kesibukan sebagai pengingat kpd Allah utk melaksanakan perintahnya.,5,0,6.0.3,2025-05-25 10:59:10,,,6.0.3
628c01ff-af59-4d3d-a355-86817d4918a4,Juniardi abu Falaq,https://play-lh.googleusercontent.com/a-/ALV-UjX9ygJz_-RjkYG3LW4k0OKo94AnIxAHo1hHvwm6modMrTWrIPEp,ماشاء الله,5,0,6.0.3,2025-05-25 08:09:54,,,6.0.3
6dbfbe86-cee8-4f81-9416-3d54b3b1b94f,Imambasori Basori,https://play-lh.googleusercontent.com/a/ACg8ocJthI6J7z4Laqk0HV3qiwuLuidmB5Ifq-xcI1nnValg7WvmdQ=mo,aplikasi yang baik tepat waktu Terima kasih,5,0,6.0.3,2025-05-25 04:41:06,,,6.0.3
e3ebac05-5782-4a3a-98bf-5bcdc99c6a79,hendriyanto Andsah,https://play-lh.googleusercontent.com/a/ACg8ocJHLrGFyBzD-rdsWSBy9HbV2RUD14xd4xF8D7EL_-GjgGVsGw=mo,masyaa allah,5,0,6.0.3,2025-05-25 02:41:53,,,6.0.3
1b429b9a-f9fc-4a4f-9435-58168fd87cca,Suliting bm,https://play-lh.googleusercontent.com/a/ACg8ocJkzDpAit70dlqvpvvlvhlHy__LaTFx4mcC9YIgRSbmGoHykQ=mo,Alhamdulillah Sangat² Bagus Saran Saya Kalau Boleh Adzannya Di Tambah lagi Yg Terbaru,5,0,6.0.3,2025-05-25 02:40:01,,,6.0.3
3a1f9bb3-9783-4c03-99ba-8ca303b49c50,Safeera PD5,https://play-lh.googleusercontent.com/a/ACg8ocKn-oTKNSmjy1TtDzhzZqEA4BAtA7BnyZzp6ruH7fy8_C5cjg=mo,"masyaa allah bagus, ada quran online dan jadwal shalat perhari maupun bulan, tersedia audio adzan juga, semoga berkah",4,0,6.0.3,2025-05-24 21:35:13,,,6.0.3
4c599955-4010-460e-bc4a-3d321265eeae,Ade Shaleh Shaleh,https://play-lh.googleusercontent.com/a/ACg8ocIacm3IXQUzZSol6KJHcnhZEzXqzxNyb9nAOwLCdOFPP5_oOQ=mo,bagus sekali simpel,5,0,,2025-05-24 19:24:04,,,
85aa3731-48b0-48c8-94b9-6100bb8b7d62,Syahril Bin Nurdin,https://play-lh.googleusercontent.com/a/ACg8ocKBS9s4vFl61pF_PBPVRacTALhG7FGjpesSdcDfEsgO5Penog=mo,sangat membantu,5,0,6.0.3,2025-05-24 13:52:44,,,6.0.3
68bbe43a-1d34-4b6a-b3e1-68f211fcfe13,Supri Yadi,https://play-lh.googleusercontent.com/a-/ALV-UjVVTzU2mIjlIIupezRryJCtkzB4LFpU2Y1_E5xn9LsDGphSrPA,"mas syaa Allah, bebas iklan",5,0,6.0.3,2025-05-24 13:36:14,,,6.0.3
4eee8398-ffaf-401d-9cf0-4be33bd47261,Akhmad Maulana,https://play-lh.googleusercontent.com/a-/ALV-UjWY7Jql3pl0K4TdnjDGIw_o9D7sEZnxBb4BfKbakKqqEjZy1S-exg,masha Allah... keren aplikasinya,5,0,6.0.3,2025-05-24 09:32:26,,,6.0.3
f4c34a13-ea52-439a-91a2-4cfc15fce45f,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"MaasyaAllah, syukron jazakallahu khair wa barakallahu fiik..",5,0,6.0.3,2025-05-24 08:08:59,,,6.0.3
b610ae4b-7177-4a03-9e28-4d805a17909d,Ichsan Thamrin,https://play-lh.googleusercontent.com/a/ACg8ocLzeUVWRGDQdO3yUmvbba_ZaUXz8FHl3rGdXg2V7snWgR5i1w=mo,"Alhamdulillah, simpel dan tidak ada iklan",5,0,6.0.3,2025-05-24 07:18:16,,,6.0.3
aa4aad3a-e5c1-452e-ab63-086a63797da5,Moechtar Oemar,https://play-lh.googleusercontent.com/a/ACg8ocIRoNTYAQTumiy3ftJwnM0B7IrQZtoTmuGR9c0Q-m2rvuV78w=mo,mantul👍,5,0,6.0.3,2025-05-24 04:44:00,,,6.0.3
23fc8e7d-5d53-46ab-8d1e-78b4a04c8c1a,Istivani Kadir,https://play-lh.googleusercontent.com/a/ACg8ocJw5ACrcQA4kmpx5xj9606oWDGVFRjWdHczA1JoqtCw2NKGWA=mo,Bagus sekali,5,0,6.0.3,2025-05-23 20:55:34,,,6.0.3
4c4b79be-e0dd-4fb3-a964-979d96b1f0ec,alicesshi,https://play-lh.googleusercontent.com/a/ACg8ocLOepasAQAjrewhAmzO9yfX1kL5oFluECHDhkkSt9kanJhGVQ=mo,amazing,5,0,6.0.3,2025-05-23 15:06:13,,,6.0.3
7fcc4b93-41e4-46c0-a629-516d7b5a6bab,Fatur Anugrah,https://play-lh.googleusercontent.com/a-/ALV-UjVx5zruftfpWhbWygRJ_e9eMZAF7gg0dsg0j2UzYCvrIQwzvkQ,MasyaAllah tampilannya elegan dan mudah untuk di gunakan aplikasinya dan tidak ada iklannya masyaAllah alhamdulillah,5,0,6.0.3,2025-05-23 15:03:24,,,6.0.3
63de23a7-cbb3-4b36-82e5-9b00daf4ac7c,Arinatul Hamidah,https://play-lh.googleusercontent.com/a-/ALV-UjXdA8rz2XjPPvkJoI1HMW-Siya12Un6dbTKTeuSIjvV2Pc5q6aU,bagus dan bermanfaat,5,0,6.0.3,2025-05-23 14:27:49,,,6.0.3
b6c7b08d-9ed4-4eae-8fcf-e839b38d3443,ILa Susanti,https://play-lh.googleusercontent.com/a-/ALV-UjW3LaXKlfhJoQ4lEoo7UTpjjyhiW3Y3JysXRR5eR-zsyVw17rzS,"aplikasi sangat bagus, kalau bisa kasih suara pada Al Qur'an nya",5,0,6.0.3,2025-05-23 10:56:14,InsyaAllah segera.,2025-05-23 17:54:47,6.0.3
